composer;type;dataset;wav_filename;start;end;duration;sample_rate
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/flute1.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/viola1.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/oboe1.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/violin4.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/bassoon2.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/doublebass.wav;-1.0;-1.0;189.01043083900225;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/bassoon1.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/oboe2.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/trumpet1.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/horn1.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/clarinet2.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/horn2.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/violin1.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/clarinet1.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/flute2.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/viola2.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/cello.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/violin2.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/trumpet2.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/beethoven/violin3.wav;-1.0;-1.0;191.05378684807258;44100.0
Beethoven;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/mixaudio_wav_22050_mono/beethoven.wav;-1.0;-1.0;191.05378684807258;22050.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/trumpet3.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin8.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin12.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/trumpet2.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin10.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/horn5.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin5.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin11.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/horn4.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/cello1.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin9.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/trumpet1.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin7.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/viola1.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/oboe1.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/clarinet3.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin4.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin2.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/horn1.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin6.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/oboe2.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/horn3.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/bassoon1.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/horn7.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/viola3.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/doublebass.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/horn8.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/oboe3.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/bassoon2.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin3.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/flute.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/bassoon3.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/viola2.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/clarinet2.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/horn6.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/clarinet1.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/violin1.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/cello2.wav;-1.0;-1.0;87.02839002267574;44100.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/mixaudio_wav_22050_mono/bruckner.wav;-1.0;-1.0;87.02839002267574;22050.0
Bruckner;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/bruckner/horn2.wav;-1.0;-1.0;87.02839002267574;44100.0
Mahler;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/mahler/horn2.wav;-1.0;-1.0;132.07510204081632;44100.0
Mahler;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/mahler/clarinet2.wav;-1.0;-1.0;132.07510204081632;44100.0
Mahler;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/mahler/horn6.wav;-1.0;-1.0;132.07510204081632;44100.0
Mahler;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/mahler/violin2.wav;-1.0;-1.0;132.07510204081632;44100.0
Mahler;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/mahler/horn1.wav;-1.0;-1.0;132.07510204081632;44100.0
Mahler;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/mahler/oboe2.wav;-1.0;-1.0;132.07510204081632;44100.0
Mahler;orchestra;PHENICX-Anechoic;PHENICX-Anechoic/PHENICX-Anechoic/audio/mahler/violin3.wav;-1.0;-1.0;132.07510204081632;44100.0
